ID,Marital,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Age Range,Purchased Bike
12496,Married,Female,"$40,000.00",1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,Adolesent,No
24107,Married,Male,"$30,000.00",3,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,Adolesent,No
14177,Married,Male,"$80,000.00",5,Partial College,Professional,No,2,2-5 Miles,Europe,60,Old Age,No
24381,Single,Male,"$70,000.00",0,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,41,Adolesent,Yes
25597,Single,Male,"$30,000.00",0,Bachelors,Clerical,No,0,0-1 Miles,Europe,36,Adolesent,Yes
13507,Married,Female,"$10,000.00",2,Partial College,Manual,Yes,0,1-2 Miles,Europe,50,Adolesent,No
27974,Single,Male,"$160,000.00",2,High School,Management,Yes,4,0-1 Miles,Pacific,33,Adolesent,Yes
19364,Married,Male,"$40,000.00",1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,Adolesent,Yes
22155,Married,Male,"$20,000.00",2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,58,Old Age,No
19280,Married,Male,"$120,000.00",2,Partial College,Manual,Yes,1,0-1 Miles,Europe,40,Adolesent,Yes
22173,Married,Female,"$30,000.00",3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,54,Old Age,Yes
12697,Single,Female,"$90,000.00",0,Bachelors,Professional,No,4,10+ Miles,Pacific,36,Adolesent,No
11434,Married,Male,"$170,000.00",5,Partial College,Professional,Yes,0,0-1 Miles,Europe,55,Old Age,No
25323,Married,Male,"$40,000.00",2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,Adolesent,Yes
23542,Single,Male,"$60,000.00",1,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,45,Adolesent,Yes
20870,Single,Female,"$10,000.00",2,High School,Manual,Yes,1,0-1 Miles,Europe,38,Adolesent,Yes
23316,Single,Male,"$30,000.00",3,Partial College,Clerical,No,2,1-2 Miles,Pacific,59,Old Age,Yes
12610,Married,Female,"$30,000.00",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,Adolesent,No
27183,Single,Male,"$40,000.00",2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,Adolesent,Yes
25940,Single,Male,"$20,000.00",2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,55,Old Age,Yes
25598,Married,Female,"$40,000.00",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,36,Adolesent,Yes
21564,Single,Female,"$80,000.00",0,Bachelors,Professional,Yes,4,10+ Miles,Pacific,35,Adolesent,No
19193,Single,Male,"$40,000.00",2,Partial College,Clerical,Yes,0,1-2 Miles,Europe,35,Adolesent,Yes
26412,Married,Female,"$80,000.00",5,High School,Management,No,3,5-10 Miles,Europe,56,Old Age,No
27184,Single,Male,"$40,000.00",2,Partial College,Clerical,No,1,0-1 Miles,Europe,34,Adolesent,No
12590,Single,Male,"$30,000.00",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,63,Old Age,No
17841,Single,Male,"$30,000.00",0,Partial College,Clerical,No,1,0-1 Miles,Europe,29,Adolesent,Yes
18283,Single,Female,"$100,000.00",0,Bachelors,Professional,No,1,5-10 Miles,Pacific,40,Adolesent,No
18299,Married,Male,"$70,000.00",5,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,44,Adolesent,No
16466,Single,Female,"$20,000.00",0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,Adolesent,Yes
19273,Married,Female,"$20,000.00",2,Partial College,Manual,Yes,0,0-1 Miles,Europe,63,Old Age,No
22400,Married,Male,"$10,000.00",0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Adolesent,Yes
20942,Single,Female,"$20,000.00",0,High School,Manual,No,1,5-10 Miles,Europe,31,Adolesent,No
18484,Single,Male,"$80,000.00",2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50,Adolesent,Yes
12291,Single,Male,"$90,000.00",5,Partial College,Professional,No,2,2-5 Miles,Europe,62,Old Age,Yes
28380,Single,Female,"$10,000.00",5,Partial High School,Manual,No,2,0-1 Miles,Europe,41,Adolesent,No
17891,Married,Female,"$10,000.00",2,Partial College,Manual,Yes,1,0-1 Miles,Europe,50,Adolesent,Yes
27832,Single,Female,"$30,000.00",0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,Adolesent,No
26863,Single,Male,"$20,000.00",0,High School,Manual,No,1,2-5 Miles,Europe,28,Adolesent,No
16259,Single,Female,"$10,000.00",4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,40,Adolesent,Yes
27803,Single,Female,"$30,000.00",2,Partial College,Clerical,No,0,0-1 Miles,Europe,43,Adolesent,No
14347,Single,Female,"$40,000.00",2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,65,Old Age,Yes
17703,Married,Female,"$10,000.00",1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,40,Adolesent,No
17185,Married,Female,"$170,000.00",4,Partial College,Professional,No,3,5-10 Miles,Europe,48,Adolesent,Yes
29380,Married,Female,"$20,000.00",3,High School,Manual,Yes,0,0-1 Miles,Europe,41,Adolesent,Yes
23986,Married,Female,"$20,000.00",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,66,Old Age,Yes
